NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Bening Hotel,Non Bintang,Melati,2.0,Jl. Hos Cokroaminoto No. 98 Sudagaran TR 3/895,-7.79224,110.35381
Berlian Palace Hotel,Non Bintang,Melati,18.0,Jl. Pasar Kembang No. 61,-7.789972,110.36274
Best City Hotel,Bintang,Bintang Tiga,84.0,Jl. Tentara Pelajar No. 44,-7.783216,110.36097
Beta Losmen,Non Bintang,Melati,6.0,Sosrowijayan Wetan Gg. 1 GT I/67,-7.790655,110.36501
Betty Losmen,Non Bintang,Melati,8.0,Sosrowijayan Wetan GT II/175,-7.790672,110.36382
Bhinneka Hotel,Non Bintang,Melati,70.0,Jl. Margo Utomo No. 38,-7.782252,110.36704
Bhumi Hostel,Non Bintang,Pondok Wisata,5.0,Jl. Raden Ronggo 14,-7.823205,110.39607
Bilik Bamboo Homestay,Non Bintang,Pondok Wisata,2.0,Timuran No. 90,-7.81706,110.36887
Bimo Homestay,Non Bintang,Pondok Wisata,3.0,Sosrowijayan No. 114 ,-7.790984,110.364363
Bina Sari Hotel,Non Bintang,Melati,6.0,Jl. Veteran No. 202,-7.815743156,110.3859835
Bintang Agung Hotel,Non Bintang,Melati,18.0,Jl. Parangtritis 30/42,-7.816747632,110.3679543
Bintang Fajar Hotel,Non Bintang,Pondok Wisata,31.0,Jl. Perintis Kemerdekaan No. 87,-7.818308374,110.3940255
Biyooshy Homestay,Non Bintang,Pondok Wisata,7.0,Jl. Dagen No. 4,-7.793030312,110.361523
Bladok Hotel,Non Bintang,Melati,36.0,Jl. Sosrowijayan No.76,-7.791146219,110.362747
Blue Safir Hotel,Non Bintang,Melati,19.0,Jl. Dagen No. 18-22,-7.793380423,110.3640584
Borobudur Guest House,Non Bintang,Pondok Wisata,6.0,Prawirotaman No. 5,-7.818628487,110.3691184
Bougenville Villa,Non Bintang,Pondok Wisata,2.0,Ngadinegaran MJ III No. 84,-7.827313237,110.4002381
Brawijaya Hotel,Non Bintang,Melati,12.0,Jl. Gambiran No. 1,-7.814276697,110.3917722
Bring In House Home Stay,Non Bintang,Akomodasi Lain,5.0,Pugeran Timur,-7.814869056,110.3592066
Brosta Hotel,Non Bintang,Melati,10.0,Jl. Ontorejo No. 4,-7.803060766,110.3534211
Bu Purwo Losmen,Non Bintang,Melati,7.0,Sosrowijayan Wetan GT I/100,-7.790130891,110.3650707
Bugis Asri Hotel,Non Bintang,Melati,14.0,Jl. Sugeng Jeroni No. 46,-7.811816195,110.3517249
Bugisan Hotel,Non Bintang,Melati,26.0,Jl. Sugeng Jeroni No. 48,-7.811860629,110.3514728
Bukit Uhud Syariah Hotel,Non Bintang,Melati,20.0,Jl. Sidokabul No. 15 Sorosutan,-7.817243315,110.381644
