NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Bunga Guest House Jumiyanto,Non Bintang,Pondok Wisata,12.0,Jl. Nitikan Baru No 11 Pandeyan Umbulharjo,-7.81781372,110.383349
Burza Hotel,Bintang,Bintang Tiga,101.0,Jl. Jogokariyan No. 63,-7.823547048,110.3666789
Cabin Hotel,Non Bintang,Melati,25.0,Jl. Dr. Sutomo No. 2,-7.823393248,110.3666369
Cabin Hotel,Non Bintang,Melati,16.0,Jl. Bhayangkara 11,-7.800269877,110.3618851
Cahaya Homestay,Non Bintang,Akomodasi Lain,17.0,Tohpati No. 64,-7.811447492,110.3812151
Cahaya Kasih Hotel,Non Bintang,Melati,12.0,"Jl. Malioboro, Sosrowijayan Wetan GT I/280",-7.791939252,110.3652493
Cailendra Guest House,Non Bintang,Melati,15.0,Jl. Taman Siswa No. 91,-7.810171965,110.3772925
Calegesco Melati Satu Hotel,Non Bintang,Melati,26.0,Jl. Hos Cokroaminoto No. 159,-7.789639888,110.3533482
Candi Losmen,Non Bintang,Melati,10.0,Jl. Pasar Kembang No. 5,-7.789952389,110.3654419
Candra Dewi Hotel,Non Bintang,Melati,40.0,Jl. Kol. Sugiyono No. 23 Keparakan,-7.814439614,110.3710409
Candra Kirana Hotel,Non Bintang,Melati,22.0,Jl. Parangtritis No. 108,-7.821604005,110.3676708
Caniga Hotel,Non Bintang,Melati,39.0,Jl. Kyai Guno Mrico 9,-7.834692646,110.3941213
Cantya Hotel,Non Bintang,Melati,56.0,Jl. Sisingamangaraja No. 21A,-7.821984721,110.3735994
Casa Rafles,Non Bintang,Pondok Wisata,4.0,Jl. KH Ahmad Dahlan Purwodiningratan NG I/915,-7.800739865,110.3578066
Cavinton Hotel,Bintang,Bintang Empat,200.0,Jl. Letjend Suprapto No. 1 Ngampilan,-7.800563212,110.3558658
Cempaka Hotel,Non Bintang,Melati,34.0,Jl. Taman Siswa No. 75,-7.808580664,110.3773762
Cepuri Hotel,Non Bintang,Melati,18.0,Karang Kajen MG 3 No. 838,-7.819882672,110.3706925
Ceria Hotel,Non Bintang,Melati,16.0,Jl. Ibu Ruswo No. 57,-7.803341225,110.3685637
Checkly Homestay,Non Bintang,Akomodasi Lain,3.0,Pujokusuman MG I No. 413,-7.813110553,110.3708945
Chendela Guest House,Non Bintang,Akomodasi Lain,6.0,Panembahan Mangkurat No. 10,-7.806836221,110.366693
Cinka Garini Hotel,Non Bintang,Melati,39.0,Jl. Nitikan Baru No. 30,-7.818364958,110.3825928
Citra Dream Hotel,Bintang,Bintang Dua,110.0,Jl. AM Sangaji No. 28 Cokrodiningratan,-7.779958853,110.3677107
Citra Hotel,Non Bintang,Melati,28.0,Jl. Janturan No. 14,-7.803542796,110.3902627
Citra Indah Hotel,Non Bintang,Melati,27.0,Jl. Letjend Suprapto No. 111,-7.79269165,110.356698
Citra Kita Hotel,Non Bintang,Melati,12.0,Jl. Poncowinatan 79-81,-7.781917454,110.361108
Cordela Kartika Dewi Hotel,Bintang,Bintang Dua,68.0,Jl. Bhayangkara No. 35,-7.798067945,110.3617981
Cristalit Hotel,Non Bintang,Melati,14.0,Jl. Prawirotaman 2 MG III/633,-7.819857733,110.3694741
Dafam Fortuna,Bintang,Bintang Tiga,94.0,Jl. Dagen No. 60,-7.79320319,110.3628597
Dahlia Guest House,Non Bintang,Akomodasi Lain,11.0,Jl. Veteran Gang Manunggal No. 2 Kebrokan,-7.815322741,110.3895749
Dana Penginapan,Non Bintang,Melati,17.0,Mantrijeron MJ 3/837 RT 57 RW 15,-7.819340231,110.3656011
Darma Putra Baciro,Non Bintang,Akomodasi Lain,12.0,Andong No. 01 Baciro,-7.794936783,110.3828694
De Hostel Homestay,Non Bintang,Pondok Wisata,8.0,Jl. Prawirotaman 1 Gang Batik Gringsing No. 1,-7.818476658,110.3700251
De Laxston Hotel,Bintang,Bintang Tiga,71.0,Jl. Urip Sumoharjo No. 139A,-7.782775645,110.3871717
Deep Purple 3,Non Bintang,Akomodasi Lain,4.0,Gedongkiwo MJ I/ RT 54 RW 11,-7.816300586,110.3545641
Delta Homestay,Non Bintang,Melati,14.0,Jl. Prawirotaman 2 MG 3 No. 597 A,-7.819563104,110.3695831
Delta Timoho Regency,Non Bintang,Melati,19.0,Jl. Timoho No. 3A RT 073 RW 19,-7.791456238,110.3930414
Denadifa Homestay,Non Bintang,Akomodasi Lain,10.0,Daradasih No. 25,-7.81055647,110.347518
Dewa Homestay,Non Bintang,Akomodasi Lain,5.0,Sosrowijayan Wetan GT 1 No 154,-7.79107387,110.363584
Dewa Ruci 2 Hotel,Non Bintang,Melati,20.0,Jl. Imogiri Timur No. 158,-7.828316122,110.3897603
Dewa Ruci 1 Hotel,Non Bintang,Melati,20.0,Jl. Veteran No. 169,-7.816343902,110.3851274
Dewi Homestay,Non Bintang,Melati,8.0,Jl. Sosrowijayan Wetan GT 1/115,-7.791162832,110.364408
Dewi Rahayu 1 Penginapan,Non Bintang,Melati,13.0,Jl. Pasar Kembang No. 7,-7.78977261,110.3653507
Dewi Rahayu 2,Non Bintang,Melati,12.0,Jl. Jlagran Lor No. 19,-7.789452088,110.3614862
Dewi Sri Hotel,Non Bintang,Melati,18.0,Jl. Mangkuyudan No. 65,-7.821468547,110.3674902
Dhina Finny Graha,Non Bintang,Melati,8.0,Jl. Parangtritis MG 3/115E,-7.821319218,110.3683533
Diaga Graha Hotel,Non Bintang,Melati,16.0,Prawirotaman MG 3/648,-7.820547859,110.3687383
Dian Losmen,Non Bintang,Akomodasi Lain,12.0,Sosrowijayan Kulon GT I/176,-7.790500018,110.363417
Diana Hotel Jogja,Non Bintang,Melati,56.0,Tirtodipuran No. 9,-7.817939903,110.363801
Dieng Permai Hotel,Non Bintang,Melati,20.0,Jl. Bumijo No. 20,-7.785615027,110.3631083
